SubDirectory,file_name,image_hash,fold
train/Type_2,382.jpg,0000,0
train/Type_2,270.jpg,0000,0
Type_2,4162.jpg,0000,0
train/Type_2,162.jpg,0000,0
Type_2,1315.jpg,0000,0
Type_2,4054.jpg,0001,0
Type_3,6814.jpg,0004,0
Type_3,2901.jpg,0004,0
train/Type_3,433.jpg,0008,0
Type_2,1327.jpg,0010,0
Type_2,1397.jpg,0011,0
Type_2,1393.jpg,0011,0
train/Type_2,1363.jpg,0022,0
Type_3,4225.jpg,0030,0
Type_2,4095.jpg,0042,0
Type_2,896.jpg,0044,0
Type_3,648.jpg,0072,0
Type_3,3776.jpg,0088,0
Type_3,6634.jpg,0090,0
Type_2,934.jpg,0090,0
Type_3,4223.jpg,0098,0
Type_1,5099.jpg,00b1,0
Type_2,6376.jpg,00bf,0
train/Type_3,118.jpg,00cc,0
Type_2,4053.jpg,0103,0
Type_1,2574.jpg,010a,0
Type_2,1591.jpg,0110,0
train/Type_3,468.jpg,0139,0
Type_2,1303.jpg,013a,0
train/Type_1,880.jpg,0198,0
train/Type_1,1289.jpg,0238,0
Type_1,2496.jpg,0238,0
train/Type_2,490.jpg,027c,0
train/Type_2,126.jpg,0280,0
Type_2,4558.jpg,02b9,0
Type_2,940.jpg,02cc,0
train/Type_3,788.jpg,02ed,0
train/Type_2,305.jpg,02f3,0
Type_3,1376.jpg,0311,0
Type_2,1933.jpg,0331,0
Type_3,3091.jpg,0331,0
Type_2,3117.jpg,03fe,0
Type_2,4498.jpg,0411,0
Type_2,2788.jpg,0431,0
Type_3,3507.jpg,0435,0
Type_3,6832.jpg,0451,0
Type_3,6623.jpg,04a8,0
Type_3,517.jpg,04c0,0
Type_2,6889.jpg,04c6,0
Type_2,1290.jpg,04d0,0
Type_2,404.jpg,055c,0
train/Type_2,832.jpg,0569,0
Type_3,1426.jpg,0575,0
Type_3,1489.jpg,0575,0
Type_3,5055.jpg,0655,0
Type_2,3643.jpg,06c8,0
Type_1,6462.jpg,0731,0
Type_1,3990.jpg,0800,0
Type_2,1657.jpg,0810,0
Type_2,5618.jpg,0811,0
Type_1,1139.jpg,0814,0
Type_1,2432.jpg,0842,0
Type_1,3862.jpg,0846,0
train/Type_2,331.jpg,084c,0
Type_2,2957.jpg,0862,0
Type_2,2599.jpg,0862,0
train/Type_1,536.jpg,0880,0
Type_2,6220.jpg,0880,0
train/Type_2,400.jpg,0880,0
Type_3,818.jpg,0880,0
Type_2,6216.jpg,0880,0
Type_2,666.jpg,0880,0
Type_2,6217.jpg,0880,0
Type_3,3099.jpg,0881,0
Type_1,5884.jpg,0882,0
Type_3,4335.jpg,0882,0
Type_3,6160.jpg,0882,0
Type_1,3989.jpg,0884,0
Type_2,1332.jpg,0884,0
Type_2,4419.jpg,0888,0
Type_2,4420.jpg,0888,0
Type_2,3863.jpg,0888,0
train/Type_2,429.jpg,0888,0
Type_2,4422.jpg,0888,0
Type_2,5137.jpg,0888,0
