image_name,Type_1,Type_2,Type_3
0.jpg,0.2757,0.6741,0.0502
100.jpg,0.2092,0.6064,0.1844
101.jpg,0.2463,0.6995,0.0542
102.jpg,0.437,0.5216,0.0414
103.jpg,0.0383,0.5733,0.3884
104.jpg,0.0261,0.377,0.5969
105.jpg,0.0194,0.3187,0.6619
106.jpg,0.1196,0.7866,0.0938
107.jpg,0.0732,0.2575,0.6693
108.jpg,0.1699,0.6301,0.2
109.jpg,0.016,0.0493,0.9347
10.jpg,0.6058,0.3826,0.0115
110.jpg,0.048,0.8117,0.1403
111.jpg,0.0847,0.7203,0.195
112.jpg,0.0527,0.4768,0.4705
113.jpg,0.0324,0.7505,0.2172
114.jpg,0.0131,0.0603,0.9266
115.jpg,0.1411,0.8019,0.0571
116.jpg,0.1591,0.7572,0.0837
117.jpg,0.2502,0.7158,0.034
118.jpg,0.0382,0.145,0.8168
119.jpg,0.7834,0.1877,0.0289
11.jpg,0.0558,0.1466,0.7976
120.jpg,0.0334,0.6692,0.2975
121.jpg,0.0226,0.9052,0.0722
122.jpg,0.0412,0.1767,0.7821
123.jpg,0.8552,0.1439,0.0009
124.jpg,0.0305,0.2619,0.7076
125.jpg,0.1332,0.6542,0.2125
126.jpg,0.0762,0.8381,0.0858
127.jpg,0.0403,0.8472,0.1125
128.jpg,0.3376,0.6582,0.0042
129.jpg,0.325,0.4438,0.2312
12.jpg,0.0364,0.2419,0.7217
130.jpg,0.2966,0.6927,0.0106
131.jpg,0.0285,0.1928,0.7788
132.jpg,0.2401,0.7195,0.0404
133.jpg,0.0114,0.0695,0.9191
134.jpg,0.0175,0.9204,0.0621
135.jpg,0.0811,0.7051,0.2138
136.jpg,0.0291,0.8638,0.1071
137.jpg,0.0437,0.8016,0.1548
138.jpg,0.4224,0.4986,0.079
139.jpg,0.2563,0.7415,0.0022
13.jpg,0.104,0.3921,0.5039
140.jpg,0.2799,0.6646,0.0555
141.jpg,0.0349,0.1815,0.7836
142.jpg,0.5696,0.4266,0.0038
143.jpg,0.0113,0.0874,0.9013
